No.,Chinese (Simplified),Type,Gender,Note,Reference,EN,EN Optional,EN Status,JA,读音,JA Status,KO,KO Optional,KO Status,DE,FR,ES-419,RU,PT-BR,TH,ID,IT,Key_Index
3565,消耗场域原质,战斗 Combat,/,数值消耗小标题,,Field Essence Cost,,Confirmed,フィールド原質エネルギー消費,,Confirmed,필드 근원 소모,,Confirmed,Feldessenz-Kosten,Coût d’essence de terrain,Costo de esencia de campo,Расход полевой энергии,Custo de Essência de Campo,เอซเซนส์สนามที่ใช้,Biaya Esens Medan,,
3566,奈奈,角色名称 Character Name,Female,「噗卡糖果店」店员，女,,Nana,,Confirmed,ナナ,,Confirmed,나나,,Confirmed,Nana,Nana,Nana,Нана,Nana,นาน่า,Nana,,
3567,彤彤,角色名称 Character Name,Female,「Q³服装店」营业员,,Tongtong,,Confirmed,トントン,,Confirmed,통통,,Confirmed,Tongtong,Tongtong,Tongtong,Тунтун,Tongtong,ถงถง,Tongtong,,
3568,J.T.F队员,角色名称 Character Name,Gender-neutral,,,JTF Member,,Revised,J.T.F隊員,,Confirmed,J.T.F 대원,,Confirmed,ZEG-Angestellter,Membre de la FOC,Miembro de FOC,Член ООГ,Membro da FTC,สมาชิก JTF,Anggota STG,,
3569,晓夜,角色名称 Character Name,Male,「食为天」店员,,Darcel,,Confirmed,シャオイエ,,Confirmed,루카스,,Confirmed,Darcel,Darcel,Darcel,Дарсель,Darcel,ดาร์เซล,Darcel,,
3570,健太,角色名称 Character Name,Male,「千酿鲜吟屋」店长,,Kenta,,Confirmed,健太,,Confirmed,켄타,,Confirmed,Kenta,Kenta,Kenta,Кента,Kenta,เคนตะ,Kenta,,
3571,REDio-红色电波,组织 Organization,/,乐队名字,,REDio,,Confirmed,REDio-赤い電波,,Confirmed,REDio,,Confirmed,REDio,REDio,REDio,REDio,REDio,REDio,REDio,,
3572,找茬的收货人,角色名称 Character Name,Male,送货玩法订单收货人,,Fussy Recipient,,Confirmed,クレーマーな受取人,,Confirmed,트집 잡는 수령인,,Confirmed,Verwöhnter Empfänger,Client difficile,Recipiente meticuloso,Нетерпеливый получатель,Destinatário Exigente,ผู้รับนิสัยจู้จี้,Penerima Paket yang Cerewet,,
3573,奥利哈刚工程项目负责人,角色名称 Character Name,Male,送货玩法订单收货人,,Orichalcos Engineering Project Manager,,Confirmed,オーリハーゲンのプロジェクト責任者,,Confirmed,오리컬코스 엔지니어링 프로젝트 책임자,,Revised,Projektleiter von „Orichalcos Engineering“,Responsable du projet d’ingénierie d’Orichalcos,Administrador de Proyecto de Ingeniería de Orichalcos,Руководитель инженерных проектов «Орихалка»,Gerente de Projetos de Engenharia Orichalcos,ผู้จัดการโปรเจกต์วิศวกรรมโอริคัลคอส,Manajer Proyek Rekayasa Orichalcos,,
3574,布朗先生,角色名称 Character Name,Male,送货玩法订单收货人,,Mr. Brown,,Confirmed,ブランさん,,Confirmed,미스터 브라운,,Confirmed,Mr. Brown,M. Brown,Sr. Brown,Мистер Браун,Sr. Brown,คุณบราวน์,Tuan Brown,,
3575,修车铺老板,角色名称 Character Name,Male,送货玩法订单收货人,,Mechanic Shop Owner,,Confirmed,修理屋のオーナー,,Confirmed,정비소 사장,,Confirmed,Besitzer der Mechanikerwerkstatt,Propriétaire du magasin automobile,Titular de taller mecánico,Владелец магазина «Механика»,Dono da Oficina Mecânica,เจ้าของร้านซ่อมรถ,Pemilik Bengkel,,
3576,电玩城老板,角色名称 Character Name,Male,送货玩法订单收货人,,Arcade Owner,,Confirmed,ゲームセンターのオーナー,,Confirmed,게임랜드 사장,,Confirmed,Spielhallenbesitzer,Propriétaire de la salle d’arcade,Titular de arcade,Владелец аркады,Dono do Fliperama,เจ้าของร้านอาร์เคด,Pemilik Arkade,,
3577,DSD潮玩备货员,角色名称 Character Name,Female,送货玩法订单收货人,,DSD Pop Stock Clerk,,Confirmed,DSD堂の出荷担当,,Confirmed,DSD 아트토이 재고관리 직원,,Confirmed,Lageristin von „TST POP“,Vendeuse de BCD POP,Repositor de DSD POP,Складской работник DSD POP,Auxiliar de Estoque da DSD Pop,เจ้าหน้าที่สต๊อก DSD ป๊อป,Pegawai Stok DSD Pop,,
3578,「林小姐」,角色名称 Character Name,Female,送货玩法订单收货人,,Miss Lin,,Confirmed,「リンさん」,,Confirmed,「미스 린」,,Confirmed,Miss Lin,Mme Lin,Señorita Lin,Мисс Лин,Srta. Lin,คุณหลิน,Nona Lin,,
3579,咖啡厅备货员,角色名称 Character Name,Female,送货玩法订单收货人,,Café Stock Clerk,,Confirmed,カフェ出荷担当,,Confirmed,카페 재고관리 직원,,Confirmed,Café-Lageristin,Vendeuse de café,Repositor de Café,Складской работник кафе,Auxiliar de Estoque do Café,เจ้าหน้าที่สต๊อกคาเฟ่,Pegawai Stok Kafe,,
3580,古怪的收货人,角色名称 Character Name,Gender-neutral,送货玩法订单收货人,,Eccentric Recipient,,Confirmed,変わった受取人,,Confirmed,이상한 수령인,,Confirmed,Exzentrischer Empfänger,Client excentrique,Recipiente excéntrico,Эксцентричный получатель,Destinatário Excêntrico,ผู้รับท่าทางประหลาด,Penerima Paket yang Eksentrik,,
3581,餐饮店老板,角色名称 Character Name,Male,送货玩法订单收货人,,Restaurant Owner,,Confirmed,飲食店オーナー,,Confirmed,레스토랑 사장,,Confirmed,Restaurantbesitzer,Propriétaire de restaurant,Titular de restaurante,Владелец ресторана,Dono do Restaurante,เจ้าของร้านอาหาร,Pemilik Restoran,,
3582,白鲸书店店员,角色名称 Character Name,Gender-neutral,送货玩法订单收货人,,Moby-Dick Bookstore Staff,,Confirmed,「白鯨書店」店員,,Confirmed,흰고래 서점 점원,,Confirmed,Buchhandlungsmitarbeiter bei „Moby Dick“,Membre du personnel de la librairie Moby-Dick,Personal de la Librería Moby-Dick,Сотрудник книжной лавки «Моби Дик»,Funcionário(a) da Livraria Moby Dick,พนักงานร้านหนังสือโมบี้ดิ๊ก,Staf Toko Buku Moby-Dick,,
3583,火锅店店主,角色名称 Character Name,Gender-neutral,送货玩法订单收货人,,Hot Pot Restaurant Owner,,Confirmed,火鍋店オーナー,,Confirmed,훠궈집 점장,,Confirmed,Restaurantbesitzer der Scharfen Töpfchen,Propriétaire du restaurant de fondue chinoise,Responsable de restaurante Cacerola,Владелец ресторана с хот-потом,Dono(a) do Restaurante de Hot Pot,เจ้าของร้านฮ็อตพ็อต,Pemilik Restoran Hot Pot,,
3584,茉莉小姐,角色名称 Character Name,Female,送货玩法订单收货人,,Miss Jasmine,,Confirmed,ジャスミンさん,,Confirmed,미스 자스민,,Confirmed,Miss Jasmine,Mme Jasmine,Señorita Jasmine,Мисс Жасмин,Srta. Jasmine,คุณแจสมิน,Nona Jasmine,,
3585,明先生,角色名称 Character Name,Male,送货玩法订单收货人,,Mr. Ming,,Confirmed,明さん,,Confirmed,미스터 밍,,Confirmed,Mr. Ming,M. Ming,Sr. Ming,Мистер Минг,Sr. Ming,อาจารย์หมิง,Tuan Ming,,
3586,承轨反击,战斗 Combat,/,成功触发后，打断目标当前攻击，并大幅增加“协同技”所需的“环合系数”,,Parry Attack,,Confirmed,レール反撃,,Confirmed,반격기,,TBC,Parrierangriff,Parade d’attaque,Ataque de parada,Ответный удар,Ataque de Aparo,โจมตีแพร์รี่,Serangan Tangkisan,,
3587,开心果榛子千层,物品/道具 Items/Props,/,层层酥脆的千层蛋糕，夹杂着香浓的榛子奶油与开心果酱。是不计热量的美味甜点，用它来作为工作日最后一天的奖励吧！,,Pistachio Hazelnut Millefeuille,,Confirmed,ピスタチオマカダミアミルフィーユ,,Confirmed,피스타치오 헤이즐넛 크레이프,,Confirmed,Pistazien-Haselnuss-Millefeuille,Mille-feuille à la noisette et à la pistache,Milhojas de pistacho y avellanas,Мильфей с фисташками и фундуком,Mil-Folhas de Pistache e Avelã,มีลเฟยพิสตาชิโอกับเฮเซลนัต,Millefeuille Hazelnut Pistasio,,
3588,热巧元气弹,物品/道具 Items/Props,/,由热巧克力、双倍浓缩咖啡、鲜奶油调和而成，既能提神也能供应充足的能量，给你提供满满元气！,,Hot Chocolate Energy Bomb,,Confirmed,ホットチョコ元気爆弾,,Confirmed,핫초코 원기옥,,Confirmed,Heiße-Schokoladen-Energiebombe,Bombe énergétique au chocolat chaud,Bomba energética de chocolate caliente,Энергетическая бомба с горячим шоколадом,Bomba de Energia de Chocolate Quente,ช็อกโกแลตร้อนเอเนอร์จีบอมบ์,Bom Energi Cokelat Panas,,
3589,猫猫惬意鱼治摸茶,物品/道具 Items/Props,/,帅气爪子摸一摸，茶也能变得更美味喵！摸完茶要堂堂正正摸鱼喵！,,Nyanko Cozy Uji Matcha,,Confirmed,にゃんにゃんほんわり魚治抹茶,,Confirmed,냥냥코지 울지마차,,TBC,Nyanko-Kuschel-Uji-Matcha,Matcha Uji relaxant de Nyanko,Matcha Uji acogedor de Nyanko,Матча удзи «Уют Нянко»,Uji Matcha Aconchegante Nyanko,เนียนโกะโคซี่อุจิมัตฉะ,Matca Uji Nikmat Nyanko,,
3590,缤纷果香派对,物品/道具 Items/Props,/,芒果、菠萝和香蕉的派对，带着你直接飞往热带岛屿，在夏夜晚风中随着尤克里里的节拍，舞！舞！舞！,,Fruity Rainbow Party,,Confirmed,トロピカルパーティー,,Confirmed,알록달록 과일 파티,,Confirmed,Fruchtige Regenbogenparty,Fête arc-en-ciel fruitée,Fiesta de arcoíris afrutado,Фруктовая радужная вечеринка,Festa Frutada do Arco-Íris,ฟรุตตีเรนโบว์ปาร์ตี้,Pesta Pelangi Serba Buah,,
3591,炭火脆皮烤肉,物品/道具 Items/Props,/,外皮金黄酥脆，瘦肉弹牙多汁，一口下去，酥脆的油香和饱满的肉汁充盈口腔，让人欲罢不能。,,Charcoal Grilled Crispy BBQ,,Confirmed,串焼きパリパリ,,Confirmed,크리스피 숯불 바비큐,,Confirmed,Holzkohlengrill-Knusper-BBQ,BBQ croustillant grillé au charbon,Barbacoa crujiente al carbón,Хрустящее барбекю на угле,Churrasco Crocante no Carvão,เนื้อย่างถ่านหนังกรอบ,BBQ Krispi Bakar Arang,,
3592,蒜香筋道烤肉,物品/道具 Items/Props,/,筋道饱满的大块精瘦肉，搭配烤得软糯浓香的蒜瓣——趁热一口，绝对过瘾！,,Garlic Infused Tender BBQ,,Confirmed,串焼きガーリック,,Confirmed,쫄깃탱글 갈릭 바비큐,,Confirmed,Zartes Knoblauch-BBQ,BBQ de tenders à l’ail,Barbacoa tierna al ajillo,Нежное барбекю с чесноком,Churrasco Macio com Alho,เนื้อนุ่มหมักกระเทียมย่าง,BBQ Empuk Bawang Putih,,
3593,孜然飘香烤肉,物品/道具 Items/Props,/,滋滋冒油的焦香肉串，搭配浓郁扑鼻的孜然香味，常让在喜欢夜跑的健身爱好者魂牵梦萦。,,Cumin Aromatic BBQ,,Confirmed,串焼きクミン,,Confirmed,향긋한 커민 바비큐,,Confirmed,Aromatisches Kumin-BBQ,BBQ aromatique au cumin,Barbacoa aromática con comino,Ароматное барбекю с кумином,Churrasco Aromático com Cominho,เนื้อย่างผงยี่หร่า,BBQ Aroma Jinten,,
3594,经典三重奏,物品/道具 Items/Props,/,经典的三重奏：番茄酱、新鲜奶酪和罗勒叶。红番茄酱打底，奶白色的奶酪和翠绿的罗勒叶点缀其上，再撒点盐和淋上橄榄油。是最经典的披萨。,,Classic Trio,,Confirmed,定番トリコロール,,Confirmed,클래식 삼중주,,Confirmed,Klassiches Trio,Trio classique,Trío clásico,Классическое трио,Trio Clássico,คลาสสิกทริโอ,Trio Klasik,,
3595,浓香火腿披萨,物品/道具 Items/Props,/,醇香的奶酪，粉嫩的火腿薄片，微酸的番茄酱，再点缀上樱桃番茄和脆嫩的芝麻菜与罗勒叶。用料十足，色彩饱满，是本店的人气披萨。,,Rich and Savory Ham Pizza,,Confirmed,コク深ハムピザ,,Confirmed,진한 프로슈토 피자,,Confirmed,Herzhafte Schinkenpizza,Pizza au jambon riche et savoureuse,Pizza de jamón sabrosa y rica,Сытная и вкусная пицца с ветчиной,Pizza de Presunto Rica e Saborosa,พิซซาแฮมหอมอร่อย,Pizza Ham Kaya Rasa dan Gurih,,
3596,番茄罗勒通心粉,物品/道具 Items/Props,/,经典的通心粉，搭配新鲜的番茄酱和芳香的罗勒叶，撒上香浓的奶酪。简单又美味，每一口都是让人怀念的味道。,,Tomato Basil Macaroni,,Confirmed,トマトバジルパスタ,,Confirmed,토마토 바질 마카로니,,Confirmed,Tomaten-Basilikum-Makkaroni,Macaroni au basilic et à la tomate,Macarrones de albahaca y tomate,Макароны с томатом и базиликом,Macarrão com Tomate e Manjericão,มักกะโรนีมะเขือเทศกับเบซิล,Makaroni Kemangi Tomat,,
3597,缤纷轻食沙拉,物品/道具 Items/Props,/,健康沙拉碗，搭配新鲜的生菜、脆烤面包丁和嫩煎鸡胸肉，再撒上少许干酪，是轻食爱好者的理想选择！,,Colorful Light Salad,,Confirmed,カラフルサラダ,,Confirmed,알록달록 라이트 샐러드,,Confirmed,Bunter leichter Salat,Salade légère colorée,Ensalada ligera colorida,Красочный лёгкий салат,Salada Leve Colorida,ไลท์สลัดหลากสี,Salad Ringan Warna-Warni,,
3598,元气儿童套餐,物品/道具 Items/Props,/,欢迎来到梦幻岛！当小英雄补充好元气以后，尝试在店内搜寻人气异象的踪影吧！你将会获得一个超酷的异象手办！,,Kids Energy Meal,,Confirmed,元気お子様ランチ,,Confirmed,어린이 에너지 세트,,Confirmed,Energie-Mahlzeit für Kinder,Repas énergétique pour enfant,Comida energética para niños,Детское энергетическое питание,Refeição Infantil Energética,เมนูเติมพลังคุณหนู,Hidangan Berenergi Anak-Anak,,
3599,救世主,称呼 Title/Nickname,Female,粉丝对法帝娅的称呼,,Savior,,Confirmed,救世主,,Confirmed,구세주,,Confirmed,Retterin,Sauveuse,Salvadora,Спасительница,Salvadora,พระแม่ผู้ไถ่บาป,Penyelamat,,
3600,盖罗塞克特女子学院,地点/场所 Location/Place,/,哈尼娅的毕业院校,,Genesse Girls' Academy,,Confirmed,ガイロセクト女学院,,Confirmed,제네스 여자 아카데미,,Confirmed,Genesse-Frauenakademie,Académie des filles Genesse,Academia de Chicas Genesse,Академия для девочек в Генессе,Academia Genesse para Garotas,วิทยาลัยหญิงเจเนส,Akademi Perempuan Genesse,,
3601,超异科,其他 Other,/,海特洛市大学的专业类别,,Paranormal Department,,Confirmed,超異能課,,Confirmed,초이능학과,,Confirmed,Paranormale Abteilung,Département du paranormal,Departamento de Paranormal,Отдел паранормальных явлений,Departamento Paranormal,คณะสิ่งเหนือธรรมชาติ,Departemen Paranormal,,
3602,午夜报刊亭,地点/场所 Location/Place,/,,,The Midnight Newsstand,,Confirmed,真夜中のブックスタンド,,Confirmed,미드나이트 가판대,,Confirmed,Der Mitternachtskiosk,Kiosque du Journal de minuit,El quiosco de periódicos Medianoche,Ночной газетный киоск,"Banca de Jornais ""A Meia-Noite""",ร้านหนังสือพิมพ์เดอะมิดไนท์,Kios Koran Kabar Tengah Malam,,
3603,万理,角色名称 Character Name,Male,报刊亭老板，老年男性,,Miles,,Confirmed,万理,,Revised,마일스,,Confirmed,Miles,Miles,Miles,Майлз,Miles,ไมล์ส,Miles,,
3604,高频送达,技能 Skills,/,哈索尔普攻名字；哈索尔施展高超的体术，进行至多5段的连续攻击。,,Rapid Delivery,,Confirmed,ハイスピ配達,,Confirmed,초스피드 배송,,Confirmed,Rasche Lieferung,Livraison rapide,Entrega rápida,Быстрая доставка,Entrega Rápida,ส่งถึงฉับไว,Rapid Delivery,,
3605,实时路况演算,技能 Skills,/,哈索尔闪避名字,,Real-Time Traffic Calculation,,Confirmed,リアタイ交通状況演算,,Confirmed,실시간 교통 분석,,Confirmed,Echtzeit-Verkehrsberechnung,Calcul de la circulation en temps réel,Cálculo de tráfico en tiempo real,Расчет потока в реальном времени,Cálculo de Tráfego em Tempo Real,คำนวณการจราจรเรียลไทม์,Real-Time Traffic Calculation,,
3606,精准投递时刻,技能 Skills,/,哈索尔极限闪避名字；在攻击即将命中前，瞬时触发的规避动作。,,Precision Delivery,,Confirmed,時間ぴったり配達,,Confirmed,신속정확,,Confirmed,Präzisionslieferung,Livraison de précision,Entrega de precisión,Точная доставка,Entrega Precisa,ส่งมอบแม่นยำ,Precision Delivery,,
3607,零误差行动,技能 Skills,/,哈索尔极限闪避反击名字；触发极限闪避后向目标发起的极速反击，命中后获得「五星好评的凝视」。,,Zero-Error Operation,,Confirmed,ノーミス行動,,Confirmed,오차 제로,,Confirmed,Null-Fehler-Modus,Opération Zéro erreur,Operación sin errores,Работа без ошибок,Operação sem Erros,ทำงานไม่เคยพลาด,Zero-Error Operation,,
3608,空中指令,技能 Skills,/,哈索尔技能名字,,Aerial Command,,Confirmed,空中指令,,Confirmed,공중 지령,,Confirmed,Luftkampf,Ordre aérien,Orden aérea,Воздушное командование,Comando Aéreo,คำสั่งกลางอากาศ,Aerial Command,,
3609,轮转打击,技能 Skills,/,哈索尔强化版技能名字,,Cyclone Strike,,Confirmed,フル回転配達,,Confirmed,싸이클론 스트라이크,,Confirmed,Zyklonschlag,Frappe de cyclone,Golpe de ciclón,Удар циклона,Golpe Ciclone,ไซโคลนจู่โจม,Cyclone Strike,,
3610,铁骑速递,技能 Skills,/,哈索尔大招名字,,Rider Express,,Confirmed,鉄騎速達,,Confirmed,라이더 익스프레스,,Confirmed,Fahrer-Express,Motard Express,Jinete exprés,Быстрый скакун,Expresso Piloto,ไรเดอร์เอ็กซ์เพรส,Rider Express,,
3611,延时预警,技能 Skills,/,哈索尔被动1名字,,Delay Warning,,Confirmed,時間延長警報,,Confirmed,딜레이 경고,,Confirmed,Verspätungswarnung,Avertissement de retard,Aviso tardío,Предупреждение о задержке,Aviso de Atraso,คำเตือนส่งช้า,Delay Warning,,
3612,效率推进,技能 Skills,/,哈索尔被动2名字,,Efficiency Boost,,Confirmed,効率化遂行,,Confirmed,효율 부스트,,Confirmed,Effizienzsteigerung,Boost d’efficacité,Impulso de eficiencia,Повышение эффективности,Aumento de Eficiência,ขับเคลื่อนผลงาน,Efficiency Boost,,
3613,精英快递员,技能 Skills,/,哈索尔命座1名字,,Elite Courier,,Confirmed,エリート配達員,,Confirmed,엘리트 배송원,,Confirmed,Elite-Kurier,Livreur d’élite,Courier de élite,Элитный курьер,Entregadora de Elite,นักส่งของระดับอีลิท,Elite Courier,,
3614,荆棘支配,技能 Skills,/,哈索尔命座2名字,,Thorn Dominion,,Confirmed,いばらの支配,,Confirmed,가시 지배,,Confirmed,Dornenherrschaft,Domination épineuse,Soberanía de espinas,Царство шипов,Domínio de Espinhos,หนามแหลมครองอำนาจ,Thorn Dominion,,
3615,一翼失衡,技能 Skills,/,哈索尔命座3名字,,Lost Wings,,Confirmed,アンバランスな片翼,,Confirmed,외로운 날개,,Confirmed,Verlorene Flügel,Ailes perdues,Alas perdidas,Потерянные крылья,Asas Perdidas,ปีกหนึ่งที่หายไป,Lost Wings,,
3616,引擎共鸣,技能 Skills,/,哈索尔命座4名字,,Engine Resonance,,Confirmed,エンジン共鳴,,Confirmed,엔진의 울림,,Confirmed,Motorresonanz,Résonance motrice,Reverberación mecánica,Резонанс двигателя,Ressonância do Motor,ประสานเสียงเครื่องยนต์,Engine Resonance,,
3617,例行三明治,技能 Skills,/,哈索尔命座5名字,,Regular Sandwich,,Confirmed,いつものサンドイッチ,,Confirmed,레귤러 샌드위치,,Confirmed,Normales Sandwich,Sandwich classique,Rutina del Sándwich,Обычный сэндвич,Sanduíche Normal,แซนด์วิชประจำวัน,Regular Sandwich,,
3618,日常生活攻略中,技能 Skills,/,哈索尔命座6名字,,Daily Life Walkthrough,,Confirmed,日常生活攻略中,,Confirmed,일상생활 공략 중,,Confirmed,Tipps für das tägliche Leben,Guide de la vie quotidienne,Camino cotidiano,Руководство по повседневной жизни,Manual da Vida Diária,กลยุทธ์การใช้ชีวิตประจำวัน,Daily Life Walkthrough,,
3619,运力加倍,技能 Skills,/,哈索尔共鸣命座1名字,,Doubled Capacity,,Confirmed,ダブルアクセル,,Confirmed,더블 캐파,,TBC,Doppelte Kapazität,Capacité doublée,Capacidad duplicada,Удвоенная вместимость,Capacidade Dobrada,ส่งของสองเท่า,Doubled Capacity,,
3620,无阻通行,技能 Skills,/,哈索尔共鸣命座2名字,,Unhindered Passage,,Confirmed,無障害通行,,Confirmed,쾌속 통행,,Confirmed,Ungehindertes Passieren,Passage désencombré,Camino despejado,Беспрепятственный проход,Passagem sem Obstáculos,ทางสะดวก,Unhindered Passage,,
3621,压轴派送,技能 Skills,/,哈索尔普攻名字；哈索尔滞空时点按普攻，落地后造成一次伤害。,,Final Dispatch,,Confirmed,圧巻配達,,Confirmed,파이널 배송,,Confirmed,Endgültige Auslieferung,Ultime envoi,Despliegue final,Последняя отправка,Despacho Final,จัดส่งปิดท้าย,Final Dispatch,,
3622,制高清算,技能 Skills,/,哈索尔普攻名字；哈索尔长按普攻，触发连段分支攻击。哈索尔将环绕目标高速飞行，卷起强风将其击至空中，随后压制目标从上空急坠，重击目标坠地后造成范围冲击。,,To The Skies,,Confirmed,空中を制する者,,Confirmed,하늘의 지배자,,Confirmed,Dem Himmel entgegen,Vers les cieux,Rumbo al cielo,В небеса,Rumo aos Céus,สู่ฟากฟ้า,To The Skies,,
3623,五星好评的凝视,技能 Skills,/,哈索尔技能效果。触发极限闪避后向目标发起的极速反击，命中后获得「五星好评的凝视」。,,The Gaze of Five-Star Rating,,Confirmed,星5高評価の視線,,Confirmed,별점 5점의 응시,,Confirmed,Der Blick der Fünf-Sterne-Bewertung,Le regard du classement 5 étoiles,La mirada de cinco estrellas,Взгляд пятизвездочного рейтинга,Olhar de Cinco Estrelas,สายตาที่คว้ารีวิวห้าดาว,The Gaze of Five-Star Rating,,
3624,闪送之力,技能 Skills,/,哈索尔技能buff，积攒闪送之力提升技能效果,,Express Delivery Power,,Confirmed,サンダースピード,,Confirmed,스피드퀵,,Confirmed,Macht der Expresslieferung,Puissance de livraison express,Poder de entrega exprés,Сила экспресс-доставки,Poder Entrega Expressa,พลังส่งด่วน,Express Delivery Power,,
3625,满星追踪,技能 Skills,/,在效果持续期间，若目标主动向哈索尔发起攻击，哈索尔将获得 3 层「闪送之力」，提升其战斗能力。,,Five-Star Tracking,,Confirmed,星5追跡,,Confirmed,별점 5점의 추적,,Confirmed,Fünf-Sterne-Verfolgung,Pistage 5 étoiles,Rastreo de cinco estrellas,Пятизвездочное отслеживание,Rastreamento Cinco Estrelas,ติดตามยอดเยี่ยมคะแนนเต็ม,Five-Star Tracking,,
3626,高效派送,技能 Skills,/,哈索尔战斗状态,,Efficient Delivery,,Confirmed,効率配達,,Confirmed,고효율 배송,,Confirmed,Effiziente Lieferung,Livraison efficace,Entrega eficiente,Эффективная доставка,Entrega Eficiente,จัดส่งทรงประสิทธิภาพ,Efficient Delivery,,
3627,紧急派送,技能 Skills,/,哈索尔战斗状态升级版,,Emergency Delivery,,Confirmed,緊急配達,,Confirmed,긴급 배송,,Confirmed,Notfallzustellung,Livraison d’urgence,Entrega de emergencia,Срочная доставка,Entrega de Emergência,จัดส่งฉุกเฉิน,Emergency Delivery,,
3628,优评锁定,技能 Skills,/,哈索尔延滞强化效果：对处于迟缓状态的目标施加「优评锁定」后，可额外增加一次迟缓判定。,,Excellent Rating Lock,,Confirmed,高評価ロックオン,,Confirmed,호평 일색,,Confirmed,Exzellente Bewertungssperre,Verrou de classement d’excellence,Bloqueo de clasificación excelente,Блокировка отличного рейтинга,Trava de Avaliação Excelente,ครองสถิติดีเด่น,Excellent Rating Lock,,
3629,烤牛奶,物品/道具 Items/Props,/,,,baked milk,,Confirmed,ミルク餅,,Confirmed,구운 우유,,Confirmed,Puddingkuchen,lait cuit,leche horneada,запечённое молоко,leite assado,นมสดอบ,susu panggang,,
3630,第零感同调,战斗 Combat,/,玩家控制角色（零）的入站交互按钮,,Zeroth Sense Synchronization,,Confirmed,第ゼロ感同調,,Confirmed,제로 센스 동기화,,Confirmed,Nullter-Sinn-Synchronisierung,Synchronisation de Sens de Zeroth,Sincronización de sentido Zero,Синхронизация нулевого чувства,Sincronização da Intuição Zero,ซิงโครไนซ์สัมผัสที่ศูนย์,Sinkronisasi Zeroth Sense,,
3631,请与我较量一场！,剧情 Storyline,/,玩家偶遇欧拉拳套时的固定交互文字,,Please spar with me!,,Confirmed,対決してください！,,Confirmed,한판 붙어!,,Confirmed,<male=>Bitte verschone mich!<male><female=>Bitte verschone mich!<female>,<male=>Faisons un combat !<male><female=>Faisons un combat !<female>,"<male=>¡Entrena conmigo, por favor!<male><female=>¡Entrena conmigo, por favor!<female>","<male=>Прошу, сразись со мной!<male><female=>Прошу, сразись со мной!<female>",Lute comigo!,รบกวนมาลงนวมกันหน่อยสิ!,Tolong latihan bertarung denganku!,,
3632,不敢比划试试吧，胆小鬼？,剧情 Storyline,/,玩家偶遇欧拉拳套时的固定交互文字,,"Dare to face me in a battle, coward?",,Confirmed,腕比べしないの？臆病者？,,Confirmed,겁쟁이처럼 도망가려고?,,Confirmed,"Du wagst es, dich mir in einem Kampf zu stellen, Feigling?","Acceptez-vous de m’affronter en duel, espèce de lâche ?","¿No te atreves a enfrentarte a mí, cobarde?","Осмелишься сразиться со мной, трус?","Não vai lutar comigo, covarde?",กล้าชกกับฉันมั้ยล่ะ เจ้าขี้ป๊อด?,"Berani menghadapiku dalam pertempuran, pengecut?",,
3633,我就路过一下……,剧情 Storyline,/,玩家偶遇欧拉拳套时的固定交互文字,,I'm just passing by...,,Confirmed,通りかかっただけだよ…,,Confirmed,지나가는 행인이에요...,,Confirmed,<male=>Ich wollte nur mal vorbeischauen…<male><female=>Ich wollte nur mal vorbeischauen…<female>,<male=>Je ne fais que passer… <male><female=>Je ne fais que passer… <female>,Tan solo estoy de paso…,<male=>Я просто прохожу мимо…<male><female=>Я просто прохожу мимо…<female>,Só estou de passagem...,ฉันแค่ผ่านมาเฉยๆ น่ะ...,Aku cuma lewat saja...,,
3634,通行正义,异象名称 Anomaly Name,Gender-neutral,一个类似红绿灯的异常BOSS，在玩家的犯罪指数上升后会被这个BOSS追击,,Justice Executioner,,Confirmed,通行正義,,Confirmed,통행 정의,,Confirmed,Urteilsverkünder,Bourreau de justice,Ejecutor de la justicia,Палач справедливости,Executor da Justiça,เส้นทางสู่ความถูกต้อง,Algojo Keadilan,,
3635,伊莉丝,角色名称 Character Name,Female,金苹果博物馆讲解员,,Iris,,Confirmed,イリス,,Confirmed,아이리스,,Confirmed,Iris,Iris,Iris,Айрис,Iris,ไอริส,Iris,,
3636,异象展品,异象名称 Anomaly Name,Gender-neutral,博物馆馆藏展品的统称,,anomaly exhibit,,Confirmed,異象展示品,,Confirmed,이상 전시품,,Confirmed,Anomalie-Ausstellungsstück,exposition d’anomalies,exhibición de anomalías,аномалия-образец,exposição de anomalias,สิ่งจัดแสดงอะนอมาลี,pameran anomali,,
3637,钨丝,异象名称 Anomaly Name,Gender-neutral,物品异象「灯」的名字，是一个灯泡,,Tungsten,,Confirmed,タングステン,,Confirmed,텅스텐,,Confirmed,Wolfram,Tungsten,Tungsteno,Вольфрам,Tungstênio,ทังสเตน,Tungsten,,
3638,帕蒂,角色名称 Character Name,Female,博物馆支线的NPC，房屋设计师,,Patty,,Confirmed,パティ,,Confirmed,패티,,Confirmed,Patty,Patty,Patty,Пэтти,Patty,แพตตี้,Patty,,
3639,帕蒂女士,称呼 Title/Nickname,Female,其他人对帕蒂的称呼,,Ms. Patty,,Confirmed,パティさん,,Confirmed,미스 패티,,Confirmed,Ms. Patty,Mme Patty,Srta. Patty,Мисс Пэтти,Srta. Patty,คุณแพตตี้,Nona Patty,,
